crop,growth_stage,soil_type,nitrogen_n,phosphorus_p,potassium_k,n_status,p_status,k_status,moisture,soil_temperature,land_area_acres,fertilizer_name,dose_kg_per_acre,total_dose_kg,application_timing,notes
rice,flowering,sandy,22.9,112.5,28.5,low,high,low,64.2,36.9,5.0,Urea + MOP,32.5,162.5,Apply at flower bud initiation; avoid leaf contact,Panicle initiation
rabi_maize,pre_sowing,red,118.8,58.7,174.9,high,medium,high,22.4,33.0,9.9,DAP + MOP,17.5,173.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif maize
sunflower_rabi,vegetative,laterite,118.7,53.8,109.1,high,medium,high,38.5,22.5,2.2,Urea,10.8,23.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
safflower,flowering,red,169.2,44.8,121.1,high,low,high,40.7,20.7,4.7,Urea,6.0,28.2,Apply at flower bud initiation; avoid leaf contact,Capitulum stage
sesame,vegetative,red,26.3,25.4,126.2,low,low,high,34.7,36.6,3.9,Urea,15.6,60.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
chilli,vegetative,alluvial,18.4,94.9,100.0,low,high,high,53.5,37.6,3.8,Urea,23.4,88.9,Top dress at 20-30 DAS; broadcast and irrigate,Plant establishment
maize_kharif,vegetative,sandy,31.4,117.4,91.8,low,high,medium,31.1,31.2,6.5,Urea,32.5,211.2,Top dress at 20-30 DAS; broadcast and irrigate,Knee high stage N
jowar_rabi,pre_sowing,laterite,59.7,79.7,68.2,medium,medium,medium,64.3,18.1,6.7,DAP + MOP,30.0,201.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P and K basal
onion,vegetative,laterite,116.6,92.5,194.7,high,high,high,41.8,36.3,2.8,Urea,12.0,33.6,Top dress at 20-30 DAS; broadcast and irrigate,Leaf development
banana,vegetative,red,140.4,118.1,44.4,high,high,low,26.8,26.8,0.9,Urea + MOP,37.5,33.8,Top dress at 20-30 DAS; broadcast and irrigate,Sword sucker stage
maize_kharif,pre_sowing,laterite,94.2,58.8,109.7,high,medium,high,35.6,36.4,9.2,DAP + MOP,17.5,161.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Full P+K; half N basal
chilli,flowering,black_cotton,103.5,23.1,145.4,high,low,high,32.5,36.3,2.9,19:19:19 NPK,4.5,13.0,Apply at flower bud initiation; avoid leaf contact,Fruit set
sugarcane,vegetative,alluvial,149.2,87.5,169.0,high,high,high,29.1,21.5,5.5,Urea + MOP,15.0,82.5,Top dress at 20-30 DAS; broadcast and irrigate,Grand growth period
groundnut,flowering,laterite,34.3,118.6,24.0,low,high,low,27.5,17.7,5.8,Gypsum,25.0,145.0,Apply at flower bud initiation; avoid leaf contact,Peg development
chickpea,pre_sowing,black_cotton,75.2,88.8,143.0,medium,high,high,25.8,18.2,4.0,SSP + MOP,6.0,24.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P and K basal
bajra,pre_sowing,sandy,49.0,20.0,150.5,medium,low,high,64.0,27.1,4.6,DAP,24.0,110.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
cucumber,vegetative,laterite,86.7,54.9,180.4,medium,medium,high,61.5,12.8,7.8,Urea,15.0,117.0,Top dress at 20-30 DAS; broadcast and irrigate,Growth boost
cotton,grain_fill,alluvial,143.3,47.2,33.6,high,medium,low,61.0,24.4,6.2,MOP,18.8,116.6,Foliar spray or side dress during grain/fruit development,Fibre quality
wheat,germination,laterite,62.0,69.8,95.3,medium,medium,medium,72.3,36.0,4.7,Urea,20.0,94.0,Apply at sowing time or within first 7 DAS,CRI stage
sunflower_kharif,vegetative,laterite,39.8,96.6,71.6,low,high,medium,72.7,30.2,9.8,Urea,23.4,229.3,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
grapes,vegetative,black_cotton,78.0,65.6,110.7,medium,medium,high,78.9,29.3,5.3,Urea,20.0,106.0,Top dress at 20-30 DAS; broadcast and irrigate,Shoot growth
sunflower_rabi,vegetative,black_cotton,62.7,110.8,134.7,medium,high,high,77.1,35.0,3.0,Urea,18.0,54.0,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
sunflower_kharif,vegetative,alluvial,268.2,64.2,80.1,high,medium,medium,39.9,15.8,0.9,Urea,10.8,9.7,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
rabi_maize,flowering,black_cotton,32.3,35.7,175.1,low,low,high,54.4,27.5,2.0,Urea,23.4,46.8,Apply at flower bud initiation; avoid leaf contact,Booster
tomato,vegetative,sandy,118.5,88.6,68.4,high,high,medium,34.6,27.3,0.9,Urea,12.0,10.8,Top dress at 20-30 DAS; broadcast and irrigate,Vegetative growth
watermelon,pre_sowing,black_cotton,246.8,36.0,20.1,high,low,low,30.8,17.7,7.8,DAP + MOP,45.0,351.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
soybean,flowering,alluvial,47.8,45.2,23.5,medium,medium,low,53.9,24.4,9.9,MOP,12.5,123.8,Apply at flower bud initiation; avoid leaf contact,K boost for pod setting
sunflower_rabi,pre_sowing,red,245.3,52.3,148.3,high,medium,high,38.9,27.4,7.9,DAP + MOP,15.0,118.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
linseed,pre_sowing,laterite,98.5,54.1,127.8,high,medium,high,27.2,24.3,4.5,DAP + MOP,10.0,45.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
groundnut,pre_sowing,sandy,167.1,57.7,109.8,high,medium,high,33.4,28.9,9.2,SSP + Gypsum,30.0,276.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Ca from gypsum for pod fill
moong_rabi,pre_sowing,alluvial,177.0,113.4,42.6,high,high,low,79.7,17.9,0.5,SSP + MOP,13.5,6.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif moong
jowar_kharif,flowering,alluvial,14.8,119.6,127.6,low,high,high,54.0,20.7,3.6,Urea,19.5,70.2,Apply at flower bud initiation; avoid leaf contact,Second top dress
safflower,flowering,red,79.2,45.7,98.8,medium,medium,medium,40.0,29.4,4.2,Urea,10.0,42.0,Apply at flower bud initiation; avoid leaf contact,Capitulum stage
cucumber,pre_sowing,alluvial,195.0,81.0,126.6,high,high,high,62.4,27.8,0.9,DAP + MOP,7.5,6.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
onion,vegetative,sandy,167.2,91.6,63.7,high,high,medium,72.5,19.5,2.5,Urea,12.0,30.0,Top dress at 20-30 DAS; broadcast and irrigate,Leaf development
jowar_kharif,pre_sowing,red,47.4,60.7,150.2,medium,medium,high,54.7,18.8,6.8,DAP,25.0,170.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P and N
rabi_maize,pre_sowing,laterite,247.2,115.9,69.5,high,high,medium,40.5,12.6,7.7,DAP + MOP,21.0,161.7,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif maize
sunflower_rabi,pre_sowing,laterite,70.9,105.5,134.3,medium,high,high,70.6,18.1,4.2,DAP + MOP,9.0,37.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
wheat,vegetative,black_cotton,79.4,20.1,61.6,medium,low,medium,79.0,18.7,5.4,Urea,20.0,108.0,Top dress at 20-30 DAS; broadcast and irrigate,Tillering
cotton,grain_fill,black_cotton,51.9,76.7,110.3,medium,medium,high,51.7,23.2,6.0,MOP,7.5,45.0,Foliar spray or side dress during grain/fruit development,Fibre quality
rice,flowering,black_cotton,13.5,49.4,156.0,low,medium,high,63.3,22.8,1.5,Urea + MOP,13.0,19.5,Apply at flower bud initiation; avoid leaf contact,Panicle initiation
groundnut,flowering,red,258.3,32.2,136.7,high,low,high,47.7,20.2,0.6,Gypsum,25.0,15.0,Apply at flower bud initiation; avoid leaf contact,Peg development
maize_kharif,vegetative,alluvial,15.2,112.0,123.7,low,high,high,44.4,22.6,6.8,Urea,32.5,221.0,Top dress at 20-30 DAS; broadcast and irrigate,Knee high stage N
bajra,vegetative,alluvial,32.0,116.2,84.1,low,high,medium,42.5,16.7,4.3,Urea,23.4,100.6,Top dress at 20-30 DAS; broadcast and irrigate,N top dress 3 weeks after sowing
urad,germination,black_cotton,40.4,114.0,74.0,medium,high,medium,22.1,30.0,6.9,Rhizobium Biofert,5.0,34.5,Apply at sowing time or within first 7 DAS,Seed inoculation
sugarcane,vegetative,alluvial,75.4,40.7,179.9,medium,low,high,76.1,29.1,9.7,Urea + MOP,25.0,242.5,Top dress at 20-30 DAS; broadcast and irrigate,Grand growth period
grapes,grain_fill,alluvial,212.0,94.1,52.0,high,high,medium,48.4,27.6,2.9,MOP,20.0,58.0,Foliar spray or side dress during grain/fruit development,Maturity
groundnut,flowering,laterite,201.5,66.5,173.3,high,medium,high,58.5,16.1,1.1,Gypsum,25.0,27.5,Apply at flower bud initiation; avoid leaf contact,Peg development
grapes,pre_sowing,laterite,36.4,117.4,27.3,low,high,low,40.8,28.3,3.7,DAP + MOP,22.5,83.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Pruning time dose
chilli,vegetative,alluvial,268.1,59.7,153.7,high,medium,high,64.6,32.8,4.4,Urea,10.8,47.5,Top dress at 20-30 DAS; broadcast and irrigate,Plant establishment
chickpea,pre_sowing,sandy,251.5,89.1,43.9,high,high,low,31.3,34.5,2.3,SSP + MOP,15.0,34.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P and K basal
turmeric,vegetative,sandy,208.4,26.9,117.0,high,low,high,25.2,21.9,9.0,Urea + MOP,9.0,81.0,Top dress at 20-30 DAS; broadcast and irrigate,Rhizome development
moong_rabi,flowering,alluvial,181.7,41.4,73.9,high,low,medium,47.6,29.9,9.7,MOP,8.0,77.6,Apply at flower bud initiation; avoid leaf contact,Pod fill
tomato,flowering,black_cotton,41.4,101.6,74.4,medium,high,medium,56.0,26.0,5.3,19:19:19 NPK,15.0,79.5,Apply at flower bud initiation; avoid leaf contact,Balanced NPK at fruit set
groundnut,grain_fill,alluvial,163.9,113.9,171.2,high,high,high,64.7,20.9,6.2,MOP,5.0,31.0,Foliar spray or side dress during grain/fruit development,Kernel filling
sugarcane,harvest,laterite,121.6,66.2,187.9,high,medium,high,51.7,31.2,1.7,MOP,10.0,17.0,Do not apply; withholding period required,Juice quality
moong_rabi,germination,black_cotton,48.1,42.6,115.4,medium,low,high,77.6,33.8,5.5,Rhizobium Biofert,5.0,27.5,Apply at sowing time or within first 7 DAS,Seed treatment
turmeric,vegetative,laterite,247.9,119.5,196.6,high,high,high,48.2,31.8,3.9,Urea + MOP,9.0,35.1,Top dress at 20-30 DAS; broadcast and irrigate,Rhizome development
sunflower_rabi,pre_sowing,red,203.3,99.3,73.2,high,high,medium,40.9,21.8,0.9,DAP + MOP,18.0,16.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
moong_rabi,germination,sandy,258.7,37.1,140.7,high,low,high,51.4,25.0,6.3,Rhizobium Biofert,5.0,31.5,Apply at sowing time or within first 7 DAS,Seed treatment
sugarcane,vegetative,alluvial,195.8,104.3,176.5,high,high,high,24.8,16.7,6.0,Urea + MOP,15.0,90.0,Top dress at 20-30 DAS; broadcast and irrigate,Grand growth period
jowar_rabi,vegetative,black_cotton,240.1,61.9,121.3,high,medium,high,68.3,16.3,5.6,Urea,12.0,67.2,Top dress at 20-30 DAS; broadcast and irrigate,Split N top dress
banana,grain_fill,red,148.1,83.7,40.8,high,high,low,31.3,22.9,4.7,MOP,50.0,235.0,Foliar spray or side dress during grain/fruit development,Bunch filling
turmeric,grain_fill,sandy,101.8,94.1,170.4,high,high,high,38.1,29.5,9.0,MOP,10.0,90.0,Foliar spray or side dress during grain/fruit development,Curcumin synthesis
moong_kharif,germination,sandy,186.3,49.6,153.0,high,medium,high,57.3,33.4,1.1,Rhizobium Biofert,5.0,5.5,Apply at sowing time or within first 7 DAS,Seed treatment
jowar_kharif,vegetative,black_cotton,252.1,62.9,75.3,high,medium,medium,29.2,19.1,8.2,Urea,12.0,98.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
moong_kharif,germination,laterite,162.2,100.5,61.9,high,high,medium,45.1,23.7,4.1,Rhizobium Biofert,5.0,20.5,Apply at sowing time or within first 7 DAS,Seed treatment
turmeric,pre_sowing,red,109.5,117.1,100.5,high,high,high,34.6,12.0,3.5,DAP + MOP,12.0,42.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
wheat,flowering,sandy,87.1,31.8,149.3,medium,low,high,21.4,13.5,3.0,Urea,10.0,30.0,Apply at flower bud initiation; avoid leaf contact,Grain initiation
rabi_maize,vegetative,sandy,99.0,72.3,56.1,high,medium,medium,67.2,13.4,0.6,Urea,15.0,9.0,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
tomato,flowering,alluvial,217.1,92.2,132.3,high,high,high,34.6,17.5,4.0,19:19:19 NPK,4.5,18.0,Apply at flower bud initiation; avoid leaf contact,Balanced NPK at fruit set
cotton,pre_sowing,alluvial,55.8,81.8,121.6,medium,high,high,71.7,16.3,8.1,DAP + MOP,12.0,97.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal: 25N 25P 25K
grapes,vegetative,alluvial,238.1,47.9,34.9,high,medium,low,68.3,27.6,9.0,Urea,12.0,108.0,Top dress at 20-30 DAS; broadcast and irrigate,Shoot growth
banana,pre_sowing,laterite,269.8,98.5,188.6,high,high,high,25.4,36.2,7.6,DAP + MOP,18.0,136.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Heavy K feeder; high basal
tomato,grain_fill,laterite,190.2,60.6,109.9,high,medium,high,46.7,31.8,8.5,MOP + CaNO3,9.0,76.5,Foliar spray or side dress during grain/fruit development,Fruit development + Ca
sunflower_rabi,flowering,black_cotton,233.8,119.9,139.4,high,high,high,27.3,21.0,5.7,Boron Spray,5.0,28.5,Apply at flower bud initiation; avoid leaf contact,Pollination support
turmeric,pre_sowing,sandy,99.4,105.3,114.4,high,high,high,27.0,13.2,1.1,DAP + MOP,12.0,13.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
sesame,pre_sowing,red,275.0,56.0,162.8,high,medium,high,34.7,14.9,4.7,DAP,18.0,84.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
onion,harvest,red,169.2,71.6,51.9,high,medium,medium,57.4,31.8,7.7,NO FERTILIZER,0.0,0.0,Do not apply; withholding period required,Stop 3 weeks before harvest
turmeric,pre_sowing,black_cotton,45.6,72.4,95.3,medium,medium,medium,45.7,21.8,3.9,DAP + MOP,40.0,156.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
sunflower_kharif,flowering,black_cotton,195.3,99.2,133.2,high,high,high,56.1,28.2,1.9,Boron Spray,5.0,9.5,Apply at flower bud initiation; avoid leaf contact,Prevent hollow stem
sugarcane,germination,black_cotton,30.4,114.7,65.2,low,high,medium,46.0,36.2,4.0,Urea,32.5,130.0,Apply at sowing time or within first 7 DAS,Germination boost
pomegranate,flowering,red,164.5,82.1,25.7,high,high,low,65.4,14.1,9.8,Urea + MOP,22.5,220.5,Apply at flower bud initiation; avoid leaf contact,Fruit set
onion,grain_fill,laterite,37.1,76.6,192.5,low,medium,high,67.4,19.2,4.8,MOP,7.5,36.0,Foliar spray or side dress during grain/fruit development,Bulb development
jowar_kharif,pre_sowing,alluvial,106.9,62.3,41.4,high,medium,low,47.4,33.0,2.7,DAP,25.0,67.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P and N
turmeric,pre_sowing,laterite,200.0,85.6,58.4,high,high,medium,23.9,17.2,5.2,DAP + MOP,24.0,124.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",High K demand
linseed,pre_sowing,red,220.7,114.3,97.5,high,high,medium,56.1,37.8,0.9,DAP + MOP,12.0,10.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
cucumber,pre_sowing,laterite,105.9,96.1,170.9,high,high,high,72.2,15.3,2.3,DAP + MOP,7.5,17.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
bajra,flowering,sandy,245.9,82.5,155.6,high,high,high,52.0,33.6,5.4,Urea,6.0,32.4,Apply at flower bud initiation; avoid leaf contact,Booster dose
chilli,flowering,black_cotton,211.5,100.9,22.6,high,high,low,41.8,27.1,7.8,19:19:19 NPK,11.2,87.4,Apply at flower bud initiation; avoid leaf contact,Fruit set
sunflower_kharif,pre_sowing,black_cotton,44.3,76.0,22.9,medium,medium,low,39.7,14.0,5.8,DAP + MOP,37.5,217.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
sesame,pre_sowing,red,142.0,46.5,133.1,high,medium,high,27.3,16.6,8.3,DAP,18.0,149.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
linseed,vegetative,red,77.8,38.2,88.3,medium,low,medium,74.0,33.1,0.9,Urea,12.0,10.8,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
chilli,vegetative,black_cotton,232.7,117.5,91.4,high,high,medium,65.9,31.0,0.9,Urea,10.8,9.7,Top dress at 20-30 DAS; broadcast and irrigate,Plant establishment
moong_rabi,germination,laterite,238.6,118.0,180.9,high,high,high,29.8,19.3,2.3,Rhizobium Biofert,5.0,11.5,Apply at sowing time or within first 7 DAS,Seed treatment
linseed,pre_sowing,alluvial,209.5,32.8,173.6,high,low,high,34.3,25.5,6.9,DAP + MOP,12.0,82.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
moong_kharif,germination,black_cotton,104.1,63.3,50.3,high,medium,medium,39.6,30.7,4.5,Rhizobium Biofert,5.0,22.5,Apply at sowing time or within first 7 DAS,Seed treatment
chickpea,pre_sowing,red,158.0,116.4,42.0,high,high,low,73.6,27.6,2.5,SSP + MOP,15.0,37.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P and K basal
rice,germination,alluvial,79.6,94.2,113.6,medium,high,high,40.6,13.0,8.8,Urea,18.0,158.4,Apply at sowing time or within first 7 DAS,7-10 DAS
tomato,grain_fill,laterite,157.5,99.6,184.9,high,high,high,22.1,17.4,7.0,MOP + CaNO3,9.0,63.0,Foliar spray or side dress during grain/fruit development,Fruit development + Ca
urad,flowering,laterite,45.1,65.7,164.4,medium,medium,high,64.2,37.0,7.3,MOP,4.0,29.2,Apply at flower bud initiation; avoid leaf contact,Pod development
chickpea,germination,alluvial,75.6,64.2,100.0,medium,medium,high,21.0,31.3,6.4,Rhizobium Biofert,5.0,32.0,Apply at sowing time or within first 7 DAS,Seed inoculation
linseed,vegetative,black_cotton,216.3,111.7,177.4,high,high,high,68.8,14.7,6.9,Urea,7.2,49.7,Top dress at 20-30 DAS; broadcast and irrigate,Top dress
tur_arhar,pre_sowing,alluvial,186.2,32.1,76.5,high,low,medium,61.0,22.5,5.9,SSP + MOP,26.4,155.8,"Apply 7 days before sowing, mix into topsoil 10-15cm",Low N; P+K basal
bajra,pre_sowing,red,70.4,116.1,59.1,medium,high,medium,44.9,24.3,4.7,DAP,12.0,56.4,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
grapes,grain_fill,black_cotton,200.0,50.5,143.9,high,medium,high,50.8,33.1,1.4,MOP,10.0,14.0,Foliar spray or side dress during grain/fruit development,Maturity
rabi_maize,flowering,laterite,48.5,33.5,77.6,medium,low,medium,43.7,37.2,6.0,Urea,18.0,108.0,Apply at flower bud initiation; avoid leaf contact,Booster
cotton,vegetative,red,212.3,59.2,185.1,high,medium,high,55.6,30.4,5.8,Urea + MOP,10.5,60.9,Top dress at 20-30 DAS; broadcast and irrigate,Square formation
turmeric,grain_fill,alluvial,25.1,75.5,48.2,low,medium,low,39.1,37.2,6.6,MOP,25.0,165.0,Foliar spray or side dress during grain/fruit development,Curcumin synthesis
urad,flowering,alluvial,83.9,86.1,41.8,medium,high,low,27.1,18.5,6.0,MOP,10.0,60.0,Apply at flower bud initiation; avoid leaf contact,Pod development
cotton,grain_fill,laterite,268.3,34.1,148.7,high,low,high,41.1,34.3,0.6,MOP,7.5,4.5,Foliar spray or side dress during grain/fruit development,Fibre quality
banana,grain_fill,sandy,126.1,33.6,125.9,high,low,high,68.8,31.4,7.7,MOP,20.0,154.0,Foliar spray or side dress during grain/fruit development,Bunch filling
jowar_rabi,flowering,red,18.9,34.0,180.8,low,low,high,56.3,35.1,5.3,Urea,15.6,82.7,Apply at flower bud initiation; avoid leaf contact,Light booster
moong_rabi,pre_sowing,sandy,53.8,63.9,121.9,medium,medium,high,74.9,29.8,4.8,SSP + MOP,9.0,43.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif moong
maize_kharif,grain_fill,red,108.6,55.0,31.3,high,medium,low,38.8,13.2,3.0,MOP,12.5,37.5,Foliar spray or side dress during grain/fruit development,Cob development
banana,vegetative,black_cotton,70.4,87.2,76.4,medium,high,medium,43.4,15.9,6.3,Urea + MOP,50.0,315.0,Top dress at 20-30 DAS; broadcast and irrigate,Sword sucker stage
tur_arhar,vegetative,alluvial,22.9,38.2,114.0,low,low,high,79.8,23.9,7.1,Urea,13.0,92.3,Top dress at 20-30 DAS; broadcast and irrigate,Light N if pale
chilli,grain_fill,alluvial,101.0,107.1,41.2,high,high,low,72.8,25.9,1.4,MOP,15.0,21.0,Foliar spray or side dress during grain/fruit development,Pungency development
rabi_maize,pre_sowing,laterite,181.7,52.2,151.0,high,medium,high,21.8,22.1,7.4,DAP + MOP,17.5,129.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif maize
jowar_kharif,vegetative,red,162.7,108.9,107.3,high,high,high,32.0,35.1,8.2,Urea,12.0,98.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
watermelon,pre_sowing,red,227.9,96.5,165.2,high,high,high,24.9,23.4,2.4,DAP + MOP,9.0,21.6,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
groundnut,flowering,black_cotton,252.5,94.9,175.3,high,high,high,44.7,16.2,0.6,Gypsum,25.0,15.0,Apply at flower bud initiation; avoid leaf contact,Peg development
jowar_kharif,vegetative,sandy,177.7,22.3,118.8,high,low,high,72.0,14.0,4.2,Urea,12.0,50.4,Top dress at 20-30 DAS; broadcast and irrigate,Top dress after 3-4 weeks
sugarcane,grain_fill,sandy,109.1,60.5,98.6,high,medium,medium,78.6,18.7,8.7,Urea,18.0,156.6,Foliar spray or side dress during grain/fruit development,Elongation stage
groundnut,germination,laterite,110.5,46.4,69.6,high,medium,medium,72.7,31.3,9.7,Rhizobium Biofert,5.0,48.5,Apply at sowing time or within first 7 DAS,Seed inoculation
sugarcane,pre_sowing,laterite,253.1,111.2,134.5,high,high,high,27.9,29.0,1.1,DAP + MOP,15.0,16.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Heavy feeder; high basal
moong_rabi,germination,red,159.3,117.6,31.2,high,high,low,70.6,15.3,6.5,Rhizobium Biofert,5.0,32.5,Apply at sowing time or within first 7 DAS,Seed treatment
sugarcane,vegetative,red,237.2,25.4,39.7,high,low,low,47.5,23.3,8.3,Urea + MOP,37.5,311.2,Top dress at 20-30 DAS; broadcast and irrigate,Grand growth period
maize_kharif,grain_fill,laterite,159.5,65.4,199.4,high,medium,high,73.3,17.9,4.7,MOP,5.0,23.5,Foliar spray or side dress during grain/fruit development,Cob development
moong_rabi,flowering,sandy,42.9,24.3,44.9,medium,low,low,50.5,16.5,9.2,MOP,10.0,92.0,Apply at flower bud initiation; avoid leaf contact,Pod fill
tur_arhar,flowering,alluvial,138.9,39.0,145.1,high,low,high,51.8,32.6,7.7,MOP,5.0,38.5,Apply at flower bud initiation; avoid leaf contact,Pod setting
safflower,vegetative,alluvial,212.1,55.0,196.1,high,medium,high,33.3,27.5,9.7,Urea,9.0,87.3,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
urad,germination,alluvial,81.8,103.8,164.1,medium,high,high,30.6,17.5,7.8,Rhizobium Biofert,5.0,39.0,Apply at sowing time or within first 7 DAS,Seed inoculation
bajra,pre_sowing,red,181.3,53.5,41.3,high,medium,low,31.4,29.9,2.2,DAP,20.0,44.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P
groundnut,pre_sowing,red,222.1,110.2,121.9,high,high,high,37.1,37.3,0.9,SSP + Gypsum,18.0,16.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Ca from gypsum for pod fill
soybean,grain_fill,laterite,160.2,86.0,72.1,high,high,medium,71.4,18.7,8.8,Micronutrient Mix,5.0,44.0,Foliar spray or side dress during grain/fruit development,Zinc + Boron foliar spray
moong_kharif,germination,red,135.7,68.4,165.1,high,medium,high,60.0,30.7,6.2,Rhizobium Biofert,5.0,31.0,Apply at sowing time or within first 7 DAS,Seed treatment
sesame,pre_sowing,alluvial,226.1,99.1,22.7,high,high,low,69.6,17.9,6.2,DAP,10.8,67.0,"Apply 7 days before sowing, mix into topsoil 10-15cm",Light feeder
rabi_maize,pre_sowing,sandy,26.7,41.4,47.0,low,low,low,30.8,19.2,1.3,DAP + MOP,52.5,68.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif maize
watermelon,vegetative,alluvial,68.3,88.2,198.3,medium,high,high,79.9,19.0,10.0,Urea,15.0,150.0,Top dress at 20-30 DAS; broadcast and irrigate,Vine growth
pomegranate,grain_fill,laterite,109.2,108.2,142.1,high,high,high,54.2,18.7,4.0,MOP + Calcium,12.5,50.0,Foliar spray or side dress during grain/fruit development,Fruit development
tur_arhar,vegetative,sandy,241.0,53.4,77.8,high,medium,medium,60.3,27.2,6.2,Urea,6.0,37.2,Top dress at 20-30 DAS; broadcast and irrigate,Light N if pale
rice,flowering,sandy,16.2,114.1,24.7,low,high,low,34.2,34.4,3.5,Urea + MOP,32.5,113.8,Apply at flower bud initiation; avoid leaf contact,Panicle initiation
moong_rabi,pre_sowing,red,136.9,51.1,193.1,high,medium,high,34.8,25.1,6.1,SSP + MOP,9.0,54.9,"Apply 7 days before sowing, mix into topsoil 10-15cm",Same as kharif moong
moong_rabi,flowering,sandy,168.0,97.8,79.7,high,high,medium,21.7,16.1,3.9,MOP,8.0,31.2,Apply at flower bud initiation; avoid leaf contact,Pod fill
safflower,vegetative,red,141.3,72.4,65.9,high,medium,medium,64.3,25.5,1.5,Urea,9.0,13.5,Top dress at 20-30 DAS; broadcast and irrigate,Rosette stage
tomato,vegetative,alluvial,39.3,119.6,45.3,low,high,low,60.2,26.7,5.5,Urea,26.0,143.0,Top dress at 20-30 DAS; broadcast and irrigate,Vegetative growth
orange,pre_sowing,laterite,23.6,71.4,47.3,low,medium,low,66.1,24.7,4.0,DAP + MOP,43.8,175.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Post-harvest dose
pomegranate,grain_fill,black_cotton,118.1,75.7,177.4,high,medium,high,47.1,32.6,8.5,MOP + Calcium,12.5,106.2,Foliar spray or side dress during grain/fruit development,Fruit development
soybean,flowering,laterite,160.9,92.1,138.5,high,high,high,23.2,31.5,6.1,MOP,5.0,30.5,Apply at flower bud initiation; avoid leaf contact,K boost for pod setting
jowar_kharif,pre_sowing,black_cotton,138.3,45.0,152.9,high,medium,high,51.5,14.8,8.9,DAP,25.0,222.5,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal P and N
mustard,flowering,sandy,77.3,31.8,74.3,medium,low,medium,54.1,30.1,7.1,Urea,10.0,71.0,Apply at flower bud initiation; avoid leaf contact,Booster
linseed,pre_sowing,sandy,278.3,108.0,146.0,high,high,high,43.4,31.9,2.2,DAP + MOP,6.0,13.2,"Apply 7 days before sowing, mix into topsoil 10-15cm",Basal
sugarcane,harvest,sandy,132.2,31.6,186.1,high,low,high,43.1,37.5,6.0,MOP,10.0,60.0,Do not apply; withholding period required,Juice quality
